trend_timestamp,topic_category,country,tweet_volume,mention_count,retweet_count,trend_score,sentiment_index,impressions,engagement_count
22-01-2025,AI,India,2265,6221,2688,0.556363715,0.865507353,14572,15986
17-01-2025,AI,USA,7341,7102,1473,-0.615185751,0.764488934,14616,8781
21-01-2025,Sports,USA,6294,,9095,-0.145476515,0.637842072,11954,20744
15-01-2025,AI,Germany,1645,5702,8746,0.931839294,0.490921453,31204,22183
20-01-2025,AI,India,4694,6548,924,,0.327932839,84641,48787
23-01-2025,Sports,UK,4620,7420,444,-0.47045313,0.598963113,90377,48063
15-01-2025,Sports,India,5087,7387,2361,0.750328729,0.480904853,58734,37846
11-01-2025,AI,UK,4711,3978,9530,-0.817703797,0.16200097,96093,16096
15-01-2025,AI,India,6972,3705,523,-0.909454978,,24826,26466
15-01-2025,Cloud,Germany,6966,2984,2714,-0.568140431,0.614473314,81784,28572
04-01-2025,AI,Germany,8753,8972,6553,0.230391563,0.415790081,63208,22285
11-01-2025,,UK,1091,7107,1566,0.295033282,0.161384012,30500,
24-01-2025,Finance,USA,9120,9939,9544,0.039382612,0.790786995,26826,44622
07-01-2025,Sports,UK,5916,8887,5498,0.364537976,0.510561803,68811,45809
13-01-2025,Cloud,UK,1029,,5032,-0.776427028,0.43368972,45203,46836
11-01-2025,Sports,UK,440,8202,,,0.443199414,68588,2506
15-01-2025,Sports,USA,6724,5006,2402,0.117543806,0.739533603,4974,42780
24-01-2025,Cloud,USA,9050,3066,6987,0.20232147,0.887889605,93603,
08-01-2025,,USA,9421,6259,2285,-0.077867863,0.276282807,15692,17560
13-01-2025,Sports,India,6459,4194,3640,0.861667532,0.816703246,41560,33784
14-01-2025,AI,USA,798,3506,2854,0.762856211,0.792859525,49907,7774
05-01-2025,,India,1375,,9299,-0.419700896,0.737385862,84535,4346
06-01-2025,Finance,Germany,9419,9540,5663,-0.601622928,0.324992264,17483,11851
21-01-2025,AI,,6989,8532,3599,-0.67397805,0.409531706,73647,35229
17-01-2025,Cloud,USA,6731,9231,6873,,0.266928732,44818,33821
22-01-2025,Cloud,India,,7732,9062,-0.059273207,0.768193625,35102,12051
04-01-2025,Cloud,India,1850,9109,2376,-0.482521356,0.707914825,88006,19173
15-01-2025,Sports,Germany,6263,7233,3064,-0.746646536,0.92387631,37018,36015
13-01-2025,Cloud,Germany,5980,3169,3976,0.063096655,0.125204154,15958,32915
15-01-2025,AI,USA,8485,6991,,0.488918682,0.85981452,49965,42060
05-01-2025,Sports,UK,5281,8412,160,0.090900861,0.880837272,52891,26021
03-01-2025,AI,India,8832,9681,348,-0.265123294,0.143668602,36315,7288
03-01-2025,AI,India,1895,9260,5617,0.637042241,0.388460225,92068,30368
07-01-2025,Sports,Germany,8454,7669,9596,,0.768283614,8017,19580
22-01-2025,Sports,Germany,1673,1989,7019,0.517503136,0.01640735,47710,7339
09-01-2025,Cloud,USA,9229,4230,9050,-0.239618912,,96801,22076
14-01-2025,Finance,Germany,9581,9771,1400,0.632223252,0.47930686,19828,38095
23-01-2025,Finance,India,1210,9785,4814,-0.260102725,0.562880478,39785,38380
06-01-2025,Sports,India,5711,4788,412,0.661479222,0.10878751,30771,41395
11-01-2025,Finance,Germany,8944,1424,9876,0.347964356,0.552232564,63383,43737
05-01-2025,AI,Germany,8572,1325,4096,-0.869626658,0.613675337,45507,31213
05-01-2025,Cloud,India,6519,4735,3906,0.026511704,0.10871233,32950,
14-01-2025,AI,Germany,8114,,1218,0.297746901,0.445594457,20238,15035
16-01-2025,Sports,Germany,1842,2577,2732,0.881021595,0.129965844,71680,15623
21-01-2025,Cloud,Germany,2145,8100,7381,0.713024606,0.669956266,25363,41169
06-01-2025,AI,UK,4629,9885,347,-0.020863725,0.120199169,44622,
07-01-2025,AI,Germany,6140,527,,-0.56725655,,97745,30318
22-01-2025,AI,USA,2712,7829,818,0.514317602,0.570370546,91382,25652
11-01-2025,Cloud,USA,4873,5045,3804,0.222299617,0.967922232,86175,30429
17-01-2025,AI,,270,2270,,-0.499531367,0.887333281,41524,
01-01-2025,Finance,UK,5260,5100,6786,-0.124028624,0.55924178,49365,43600
19-01-2025,Cloud,India,7786,515,3653,0.044774951,0.545302793,12731,5090
08-01-2025,Sports,UK,6447,1658,4471,-0.355894989,0.020969956,27398,45582
01-01-2025,Cloud,USA,3683,8968,,-0.701073577,0.087467125,62464,23660
01-01-2025,AI,UK,576,7148,5834,-0.195310038,0.210609934,5733,25971
11-01-2025,Finance,Germany,,6404,2832,,0.000774958,2908,41727
10-01-2025,Sports,,8946,6819,5568,0.588608896,0.292088308,39727,41691
04-01-2025,Finance,UK,9563,3315,5067,-0.439278009,0.419992518,,43557
13-01-2025,Cloud,UK,5116,3125,2901,0.121737611,0.692596141,43003,
02-01-2025,Cloud,,8120,8771,3698,-0.06903498,0.658895469,62524,37064
12-01-2025,Sports,UK,632,8843,4562,-0.763261943,0.763374133,83553,1614
14-01-2025,AI,USA,9496,4974,5626,0.556489784,0.619440618,76264,3191
21-01-2025,AI,UK,2162,2800,5144,0.645525826,0.275005438,36641,16701
18-01-2025,Cloud,India,,2538,2315,-0.751865335,0.165191969,33844,49752
05-01-2025,Sports,USA,2050,4169,730,,0.604840765,56330,36696
06-01-2025,Cloud,Germany,2583,9076,6797,-0.464648278,0.502441896,38117,
15-01-2025,Sports,USA,1168,8955,868,0.293633695,0.610671916,19666,26685
01-01-2025,,UK,6200,8689,9207,0.793065491,0.086297556,48457,17081
08-01-2025,Sports,Germany,3159,3002,1535,0.891271454,0.269603395,21753,22917
21-01-2025,Finance,Germany,,1027,3494,-0.305699086,0.191309441,56017,
16-01-2025,Cloud,Germany,9629,7799,2131,-0.743137384,0.60429967,32680,39370
03-01-2025,Sports,Germany,9552,6369,5164,-0.121645165,0.338935835,70562,43934
04-01-2025,Finance,Germany,876,,2504,-0.934146524,0.297297033,37239,28307
19-01-2025,AI,UK,8660,6773,5667,0.741534017,0.948108748,36177,8025
06-01-2025,Finance,USA,6449,8282,1506,-0.716770222,0.29564045,52815,18456
21-01-2025,Sports,UK,1791,1014,7338,-0.624066957,0.597937771,91228,12192
11-01-2025,Cloud,,8213,4709,4383,0.851984299,0.257362905,78065,19031
10-01-2025,Cloud,India,8486,8972,5569,0.699784013,0.429860473,23371,45682
20-01-2025,Cloud,India,3542,4608,6388,0.376041548,0.012190292,9100,
03-01-2025,Finance,USA,3219,3658,1069,0.028303649,0.335228852,22478,41323
,,USA,6484,4014,6427,0.878377428,0.399609839,,21391
10-01-2025,AI,India,8082,5158,3944,0.788676926,0.510425788,73732,44997
22-01-2025,Finance,UK,5316,9032,8530,0.072632608,0.589173723,71005,23622
21-01-2025,Cloud,USA,7403,2956,6026,0.4473491,0.151910728,39290,28829
06-01-2025,Sports,USA,,9322,6214,0.176741307,0.362516929,65544,12004
03-01-2025,Finance,UK,887,3749,6000,0.389606038,0.207799276,33948,28291
15-01-2025,Cloud,India,3432,5255,7511,0.176241994,,40646,28127
14-01-2025,Cloud,India,303,2588,9657,0.871480462,0.351405121,34410,37662
12-01-2025,Finance,USA,7889,2176,,-0.725623632,0.775096449,67593,8721
17-01-2025,Cloud,UK,3127,1942,,-0.333918517,0.299250189,57339,8362
06-01-2025,AI,India,5001,4971,1677,0.433644298,0.581273593,53119,
12-01-2025,AI,UK,4152,7860,,0.579677157,0.721728649,73272,19561
