tweet_id,user_id,tweet_text,timestamp,timestamp,likes,retweets,replies,impressions,engagement
T24019,8066,Love this!!! 😊,api,02-01-2025 02:19,18022,173,760,1677,1374
T32368,6805,Good & Bad mixed!!!,android,03-01-2025 07:15,11258,2134,380,1759,
T13032,2244,Good & Bad mixed!!!,api,02-01-2025 01:30,18422,1267,990,2367,
T13908,5031,Love this!!! 😊,ios,22-01-2025 20:46,10701,4507,153,606,1218
T22901,6393,Good & Bad mixed!!!,android,08-01-2025 07:53,2372,3128,939,2301,644
T37067,6128,Error###Detected,web,12-01-2025 01:25,,1602,251,2460,1808
T37306,9926,Testing!!!@@@###,android,23-01-2025 03:22,10443,4993,395,926,486
T29585,9846,Love this!!! 😊,ios,23-01-2025 20:53,12627,892,923,2808,1357
T7249,9046,Great product!!! #AI,api,17-01-2025 14:08,10976,,232,2369,1856
T37623,8632,Worst service ever :(,android,06-01-2025 09:58,5435,4825,,1178,1540
T296,,Good & Bad mixed!!!,api,17-01-2025 21:41,15034,1846,579,811,1240
T26361,,Spark > Hadoop ???,ios,20-01-2025 09:34,4768,2277,62,782,285
T7814,4680,Love this!!! 😊,api,21-01-2025 21:38,8741,2742,513,1995,1019
T13988,6515,Great product!!! #AI,ios,14-01-2025 00:31,1110,3799,637,1957,20
T35310,6892,Spark > Hadoop ???,api,22-01-2025 08:11,16074,4477,495,395,168
T36083,7727,Null?? value??,ios,01-01-2025 10:45,616,4683,758,2860,1438
T3587,4068,,api,20-01-2025 21:57,925,378,351,413,1419
T12635,8007,Love this!!! 😊,api,12-01-2025 13:36,19028,3192,167,641,1485
T12286,8472,Worst service ever :(,api,19-01-2025 12:03,,4637,296,1957,754
T11098,5558,Love this!!! 😊,web,04-01-2025 14:46,16748,4974,552,678,1187
T35262,8627,Worst service ever :(,api,19-01-2025 19:48,139,914,864,776,1231
T36258,5906,Data pipeline broke @ midnight!!!,android,21-01-2025 11:16,17389,691,901,,1376
T32858,5792,Streaming $$$ working,android,,13370,4499,865,2655,1217
T27304,5378,Streaming $$$ working,api,14-01-2025 00:10,2386,4100,467,2330,672
T2582,,Error###Detected,ios,15-01-2025 13:07,1062,1389,94,866,795
T27358,5225,Streaming $$$ working,android,03-01-2025 19:06,11947,4963,991,537,
T12913,3397,Spark > Hadoop ???,ios,22-01-2025 04:18,,2860,652,315,1264
T30927,1640,Data pipeline broke @ midnight!!!,android,07-01-2025 22:55,1351,357,744,602,1878
T12123,3911,Worst service ever :(,android,10-01-2025 10:40,16171,4536,230,2584,
T22491,9105,Love this!!! 😊,android,01-01-2025 02:03,6327,,130,2116,675
T12925,6266,Love this!!! 😊,,03-01-2025 17:10,6987,2613,153,35,
T16699,8108,Streaming $$$ working,web,17-01-2025 20:18,14139,1276,350,2320,115
T12169,5743,Data pipeline broke @ midnight!!!,ios,20-01-2025 11:13,18343,3586,183,1495,115
T2511,5045,Testing!!!@@@###,ios,17-01-2025 04:28,4910,2541,804,283,1160
T26684,8921,Error###Detected,api,08-01-2025 05:35,12219,1491,964,453,1346
T24464,5779,Error###Detected,api,,17682,901,557,2640,193
T23412,6760,,ios,06-01-2025 16:06,1468,,306,1457,91
T21496,1694,Data pipeline broke @ midnight!!!,android,18-01-2025 14:20,7337,3819,287,2294,232
,9402,Error###Detected,web,09-01-2025 16:22,9507,1095,210,11,1045
T26416,9071,Spark > Hadoop ???,ios,13-01-2025 20:31,799,2720,995,2873,1616
T30557,2640,Worst service ever :(,ios,19-01-2025 06:37,6483,1409,52,177,1105
T4505,3530,Null?? value??,android,17-01-2025 23:57,17172,4843,465,1255,246
T22408,2620,Good & Bad mixed!!!,api,11-01-2025 03:35,1776,4352,135,,437
T27703,3283,Great product!!! #AI,ios,13-01-2025 15:38,19294,534,427,1048,1090
T31607,2992,Worst service ever :(,web,23-01-2025 08:33,13878,659,983,2940,1242
T17784,6575,Good & Bad mixed!!!,web,12-01-2025 12:30,11981,660,169,1150,523
T21636,,Error###Detected,web,23-01-2025 23:31,13477,1033,379,452,1689
T15995,2105,Error###Detected,ios,16-01-2025 00:48,13376,3314,249,2343,1743
T23756,7266,Love this!!! 😊,web,07-01-2025 17:24,18091,3794,543,1578,1594
T38217,3354,Streaming $$$ working,android,15-01-2025 17:43,18971,1494,632,68,1177
T8107,6662,,android,15-01-2025 02:08,9548,982,193,2038,1540
T22485,2505,,web,15-01-2025 06:22,7484,2144,119,1183,1600
T13701,6405,Worst service ever :(,android,12-01-2025 05:55,17444,3450,520,697,1930
T25363,1715,Good & Bad mixed!!!,android,22-01-2025 19:01,10818,4252,477,1514,1815
T28506,4619,Data pipeline broke @ midnight!!!,api,02-01-2025 00:49,,1068,576,2143,
T12434,2991,Love this!!! 😊,ios,20-01-2025 18:17,6523,4713,580,568,1383
T39659,3945,Love this!!! 😊,ios,09-01-2025 06:54,11251,1373,,1133,311
T17344,8212,Data pipeline broke @ midnight!!!,ios,,16035,1058,344,1700,627
T18946,7994,Good & Bad mixed!!!,ios,17-01-2025 07:08,6297,,744,1668,203
T30652,6559,Streaming $$$ working,ios,23-01-2025 15:13,7656,100,806,2444,40
T23594,2288,Testing!!!@@@###,web,17-01-2025 11:11,15602,44,278,744,1111
T18006,7241,Null?? value??,web,06-01-2025 18:02,9523,2063,36,1757,555
T17428,9872,Data pipeline broke @ midnight!!!,api,,19458,,796,2858,1793
T36991,,Testing!!!@@@###,api,04-01-2025 17:18,18478,3570,972,191,155
T2861,4365,Error###Detected,android,03-01-2025 15:56,5115,3281,856,2595,1851
,9304,Good & Bad mixed!!!,web,,1479,911,661,2401,1075
T34584,9594,Great product!!! #AI,api,16-01-2025 18:21,4905,2429,103,1951,366
T419,3731,Love this!!! 😊,android,24-01-2025 00:09,6192,796,239,2421,340
T24523,6777,Love this!!! 😊,web,01-01-2025 04:13,13006,1957,127,,1846
T13813,7893,Testing!!!@@@###,android,08-01-2025 09:46,1114,307,587,1871,
T32653,5976,Testing!!!@@@###,web,12-01-2025 20:26,9544,2354,124,883,
T32788,9023,Null?? value??,android,03-01-2025 06:09,17248,1786,129,620,1276
T4844,6117,Null?? value??,ios,11-01-2025 04:55,2494,3013,170,1129,345
T12907,8760,Null?? value??,web,15-01-2025 04:26,9286,2759,369,853,1696
T4866,2249,Good & Bad mixed!!!,ios,11-01-2025 12:04,10852,3050,98,2913,1919
T30825,9678,Testing!!!@@@###,ios,16-01-2025 00:57,6429,1414,509,2269,1901
T30834,6608,Streaming $$$ working,api,,13249,1219,,423,1506
T3959,5413,Data pipeline broke @ midnight!!!,android,20-01-2025 10:50,13746,3067,292,89,1216
T2727,3389,Great product!!! #AI,ios,16-01-2025 22:33,7456,1761,958,1589,1688
T35675,7007,Great product!!! #AI,web,10-01-2025 17:39,8144,3120,47,103,423
T29274,4065,Spark > Hadoop ???,android,17-01-2025 05:15,7503,526,522,,917
T37105,2838,Streaming $$$ working,web,07-01-2025 19:06,4211,3486,143,2421,1731
T9532,7793,Great product!!! #AI,android,02-01-2025 15:38,17882,4140,596,1188,102
,6388,Love this!!! 😊,web,01-01-2025 16:53,2353,1682,645,1438,23
,4781,Love this!!! 😊,api,18-01-2025 08:45,19490,3831,340,1010,1420
T10543,7888,Great product!!! #AI,api,14-01-2025 18:44,5542,560,326,2404,893
T18770,9275,Null?? value??,web,13-01-2025 11:42,2974,1800,696,153,1595
T22383,,Streaming $$$ working,android,15-01-2025 19:47,16644,4397,861,592,86
T8396,9258,Error###Detected,web,01-01-2025 14:33,13803,4506,786,1488,284
T9015,6490,Love this!!! 😊,web,21-01-2025 22:17,11592,3578,625,1043,164
T16913,4276,Streaming $$$ working,ios,04-01-2025 20:14,6913,1297,690,,754
T10178,1033,,web,14-01-2025 00:39,17466,1361,993,537,731
T29741,4501,Good & Bad mixed!!!,ios,10-01-2025 20:28,13596,4935,889,843,316
T18690,9240,Love this!!! 😊,ios,21-01-2025 18:39,10457,3980,849,,247
T10473,1099,,web,17-01-2025 18:01,3591,1932,968,786,1422
T30095,9216,Worst service ever :(,android,14-01-2025 10:08,1088,778,657,1671,1698
T10032,5749,Good & Bad mixed!!!,,05-01-2025 20:41,46,4557,207,1609,787
T6102,1523,Testing!!!@@@###,ios,12-01-2025 16:06,2857,1079,416,2846,452
T15444,2753,Good & Bad mixed!!!,android,14-01-2025 21:38,12379,114,913,1009,1651
T23806,2201,Data pipeline broke @ midnight!!!,ios,17-01-2025 19:44,5121,,203,1161,1702
T11884,9163,Love this!!! 😊,api,23-01-2025 16:04,4675,,263,2996,844
T35758,,Error###Detected,android,17-01-2025 00:13,14371,4074,805,2732,
T9987,4814,Data pipeline broke @ midnight!!!,android,03-01-2025 11:23,72,183,608,280,1778
T36133,3939,Streaming $$$ working,ios,09-01-2025 14:14,13539,3074,453,2750,964
T17494,7857,Worst service ever :(,ios,06-01-2025 11:49,13989,2410,685,2654,1649
T6782,8856,Spark > Hadoop ???,android,22-01-2025 09:01,15635,1685,780,2268,1515
T39694,7235,Null?? value??,api,16-01-2025 03:07,1292,4487,786,482,813
T6171,4346,Streaming $$$ working,ios,12-01-2025 12:28,19381,1731,43,63,376
T31511,2229,Good & Bad mixed!!!,,04-01-2025 21:27,10439,4600,39,2339,1976
T18102,6211,Good & Bad mixed!!!,ios,,9769,554,139,996,1650
T39769,2204,Data pipeline broke @ midnight!!!,android,13-01-2025 22:39,14314,4821,452,1929,553
T14130,3245,Great product!!! #AI,android,21-01-2025 01:59,2434,3057,,1193,6
T13548,3556,Good & Bad mixed!!!,web,10-01-2025 21:46,9424,2804,296,680,1626
