user_id,country,topic_category,account_created_date,followers_count,following_count,likes_count,shares_count,posts_count,verified
9001,USA,finance,,36196,4047,1118,374,854,Y
4869,USA,politics,19-01-2025 21:06,74415,2211,1641,124,835,
3019,UK,sports,21-01-2025 07:37,,2234,620,311,61,Y
3107,Canada,finance,04-01-2025 19:32,14433,3954,1442,274,306,Y
3494,UK,finance,15-01-2025 16:07,59970,3207,1535,88,955,N
6014,UK,finance,19-01-2025 10:14,99007,3567,991,341,755,N
3918,Canada,politics,09-01-2025 17:26,32008,4331,1711,130,137,N
1965,Germany,sports,12-01-2025 22:16,73191,3273,1851,194,70,N
7844,India,sports,14-01-2025 17:59,85624,,37,187,315,Y
5994,UK,politics,01-01-2025 01:52,11517,2003,1372,102,539,Y
7762,UK,tech,04-01-2025 05:12,,1611,880,406,676,Y
7339,UK,tech,04-01-2025 23:04,72437,2437,130,411,260,N
1862,India,sports,23-01-2025 12:12,56441,4192,816,38,,Y
9816,USA,tech,14-01-2025 18:31,39209,951,1340,383,680,Y
2055,India,politics,15-01-2025 23:46,29822,2325,131,227,361,Y
1525,USA,tech,06-01-2025 05:37,44226,864,1635,158,,N
3754,Canada,politics,13-01-2025 16:23,31252,4968,243,74,384,
7551,USA,finance,21-01-2025 06:41,78073,1111,1655,167,949,Y
3566,USA,sports,06-01-2025 04:28,61362,527,961,299,569,N
1883,Germany,politics,09-01-2025 19:35,26138,943,681,223,854,Y
3218,USA,politics,10-01-2025 07:34,38769,4127,584,496,124,N
5631,UK,,21-01-2025 22:59,30532,3288,1806,377,371,N
4600,UK,,19-01-2025 09:34,24756,4637,1072,376,726,Y
3825,Germany,politics,08-01-2025 20:43,58705,4774,1590,190,853,Y
4024,,politics,05-01-2025 18:02,62620,848,751,255,102,Y
3617,Germany,sports,18-01-2025 16:39,38915,4869,192,347,142,Y
7802,USA,finance,07-01-2025 23:28,86039,2271,1048,440,374,N
,Germany,,23-01-2025 21:49,73345,2088,1150,168,400,Y
8717,USA,tech,08-01-2025 06:34,97008,4704,577,45,253,N
4349,USA,politics,18-01-2025 23:04,13685,1658,1077,342,,N
8324,Canada,finance,20-01-2025 12:44,43612,2567,123,358,749,Y
6107,USA,sports,05-01-2025 17:54,70260,4729,1731,184,960,N
,,tech,11-01-2025 06:51,65626,4715,1802,270,148,Y
1379,Germany,sports,22-01-2025 04:28,10225,3804,264,188,161,Y
5355,USA,politics,07-01-2025 10:31,3907,2543,1491,321,32,N
9886,UK,tech,15-01-2025 00:39,86282,3747,507,143,418,N
4978,Germany,tech,18-01-2025 04:20,6439,2142,587,167,490,N
4285,Canada,sports,21-01-2025 04:25,16941,2205,,114,,Y
